configuration,BetaBin,Hierarchy,Flow,VIB_mQTL,Conformal,pearson_r,auc_meth_at_0p5,coverage_90,status
A0. Feature regression scaffold,,,,,,0.716,0.874,,measured (synthetic FinaleMe-proxy)
A1. + Beta-Binomial pseudo-likelihood,yes,,,,,0.732,0.910,,measured (synthetic FinaleMe-proxy)
A2. + hierarchical SVI,yes,yes,,,,0.866,0.959,,measured (synthetic FinaleMe-proxy)
A3. + amortized flow posterior,yes,yes,yes,,,0.845,0.939,,measured (synthetic FinaleMe-proxy)
A4. + leakage-control terms,yes,yes,yes,yes,,0.852,0.940,,measured (synthetic FinaleMe-proxy)
A5. + conformal wrapper (full),yes,yes,yes,yes,yes,0.852,0.940,0.879,measured (synthetic FinaleMe-proxy)
