coverage,method,pearson,rmse,mae,coverage_90,mean_width,pearson_low_information_proxy
0.1,FinaleMe-style,0.2088583175801075,0.340786676426228,0.30378457878989445,0.684375,0.7939979898452333,0.11936347993864002
0.1,HAVI-Methyl simplified,0.2762210756747436,0.3293258448095346,0.29561234291965455,0.375,0.5067197554477822,0.17442259784255906
1.0,FinaleMe-style,0.5321531218273303,0.30027662168760527,0.23203990270082137,0.44375,0.4242861068259958,0.5491673942877334
1.0,HAVI-Methyl simplified,0.7379176924172485,0.2242431430230008,0.1849931286978001,0.659375,0.43601912028306744,0.7745129156717913
5.0,FinaleMe-style,0.8132185484495941,0.1863577696203277,0.1448510495742881,0.59375,0.33431701197251357,0.8879705083559444
5.0,HAVI-Methyl simplified,0.8765234582778734,0.15899519443559534,0.12830720929641984,0.596875,0.26943647091390055,0.9330673341483202
30.0,FinaleMe-style,0.9736677149322935,0.10297618411970291,0.08867622101821938,0.45625,0.16608223948234951,0.9591773847371003
30.0,HAVI-Methyl simplified,0.9757897018988432,0.10236365477888315,0.08870342735567954,0.346875,0.12260222880624247,0.9621451025046095
