method,pearson_r,spearman_r,auc_meth_at_0p5,ece_credible,icc_2_1,dmr_f1,_status
FinaleMe-style HMM,0.07780824737487708,0.06339798065432949,0.5638098787744363,0.47399275915899963,0.05184040949930403,0.0,"Liu 2024 (data-dir=/cb/home/omids/data/finaleme, n_samples=77, n_loci=782, locus_panel=data/finaleme_manifest/high_variance_cpgs.hg19.bed, manifest=data/finaleme_manifest/sample_pairs.csv, buffy_coat_prior=on)"
HAVI-Methyl simplified (full),0.08123388639299407,0.06513163428288224,0.563610549461181,0.4158151715023434,0.05346901820466574,0.0,"Liu 2024 (data-dir=/cb/home/omids/data/finaleme, n_samples=77, n_loci=782, locus_panel=data/finaleme_manifest/high_variance_cpgs.hg19.bed, manifest=data/finaleme_manifest/sample_pairs.csv, buffy_coat_prior=on)"
HAVI-Methyl simplified (no flow),0.08198470936515247,0.06749923528397278,0.564532554624787,0.4164855873699594,0.05408614056469544,0.0,"Liu 2024 (data-dir=/cb/home/omids/data/finaleme, n_samples=77, n_loci=782, locus_panel=data/finaleme_manifest/high_variance_cpgs.hg19.bed, manifest=data/finaleme_manifest/sample_pairs.csv, buffy_coat_prior=on)"
HAVI-Methyl simplified (no hierarchy),0.07780824737487708,0.06339798065432949,0.5638098787744363,0.3175507357093035,0.05184040949930403,0.0,"Liu 2024 (data-dir=/cb/home/omids/data/finaleme, n_samples=77, n_loci=782, locus_panel=data/finaleme_manifest/high_variance_cpgs.hg19.bed, manifest=data/finaleme_manifest/sample_pairs.csv, buffy_coat_prior=on)"
HAVI-Methyl (full torch),0.45486230642917536,0.4214204427208362,0.7433484819817153,0.32180660905926756,0.43352461919937246,0.0,"Liu 2024 (data-dir=/cb/home/omids/data/finaleme, n_samples=77, n_loci=782, locus_panel=data/finaleme_manifest/high_variance_cpgs.hg19.bed, manifest=data/finaleme_manifest/sample_pairs.csv, buffy_coat_prior=on)"
FinaleMe,XX,XX,XX,XX,XX,XX,external baseline FinaleMe requires its own codebase; placeholder
DeepCpG,XX,XX,XX,XX,XX,XX,external baseline DeepCpG requires its own codebase; placeholder
Elastic-net regression,XX,XX,XX,XX,XX,XX,external baseline Elastic-net regression requires its own codebase; placeholder
MethylBERT,XX,XX,XX,XX,XX,XX,external baseline MethylBERT requires its own codebase; placeholder
