configuration,pearson_r,spearman_r,auc_meth_at_0p5,icc_2_1,dmr_f1,ece_credible,coverage_90,mean_width_90,_status
A0. Feature regression scaffold,0.716194712536604,0.6812173634594201,0.8740577385725742,0.7137913790840232,0.0,0.19020467836257304,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A1. + Beta-Binomial pseudo-likelihood,0.7320450760633368,0.7362815128887208,0.9097273456295109,0.17234933404327568,0.0,0.39817251461988296,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A2. + hierarchical SVI,0.8655421112712802,0.8574848395412286,0.958532477947073,0.19594547149372255,0.0,0.3756578947368421,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A3. + amortized flow posterior,0.8449494425781986,0.8467285816523565,0.9393263833199679,0.6811942654951761,0.0,0.323172514619883,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A4. + leakage-control terms,0.8522757019347633,0.8483445184114937,0.9404250200481155,0.6782781367696851,0.0,0.3245614035087719,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A5. + conformal wrapper (full),0.8522757019347633,0.8483445184114937,0.9404250200481155,0.6782781367696851,0.0,0.3245614035087719,0.8791666666666667,0.689857734662309,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
