coverage,method,pearson,rmse,mae
0.1,FinaleMe-style HMM,0.16229813955157735,0.3099904600775668,0.2711645031795134
0.1,HAVI-Methyl simplified,0.3332702157165197,0.2955463238786097,0.26181810891448587
1.0,FinaleMe-style HMM,0.5236872800270462,0.311931187224592,0.2498819873273917
1.0,HAVI-Methyl simplified,0.781650815413644,0.22702222310589398,0.1957161676201806
5.0,FinaleMe-style HMM,0.7682605951182659,0.1868585688439763,0.1428991879280763
5.0,HAVI-Methyl simplified,0.8676174702169274,0.1414885914818254,0.11250400828997707
30.0,FinaleMe-style HMM,0.961332514974826,0.09778880954516252,0.0820823991476936
30.0,HAVI-Methyl simplified,0.9642797813186266,0.09599492930540396,0.0807509847332442
