posterior_head,objective,coverage,pearson_r,rmse,mae,elbo_first,elbo_last,wall_seconds,iters,iters_per_s,status
gaussian,ELBO,1.0,0.5414729856924715,0.30434854924228066,0.2722533921833087,-1.170921802520752,-0.6652529835700989,13.710,80,5.83,measured (full torch on Darwin arm64 arm)
gaussian,IWAE K=4,1.0,0.7332915257481422,0.26427322727617764,0.23453635932765052,-0.7334105968475342,-0.5995316505432129,13.265,80,6.03,measured (full torch on Darwin arm64 arm)
gaussian,ELBO,5.0,0.9450063355719391,0.14727266939989744,0.1269430189159107,-3.678908348083496,-2.434741735458374,22.866,80,3.50,measured (full torch on Darwin arm64 arm)
gaussian,IWAE K=4,5.0,0.9423902863274687,0.1513941138858809,0.12964770400556072,-3.1048336029052734,-2.3274989128112793,22.893,80,3.49,measured (full torch on Darwin arm64 arm)
flow,ELBO,1.0,0.5480120058030119,0.29330977198642116,0.26176005326646035,-1.6140973567962646,-0.7281370162963867,13.635,80,5.87,measured (full torch on Darwin arm64 arm)
flow,IWAE K=4,1.0,0.7147711938467819,0.27605104852614576,0.24039533490484088,-0.8751028180122375,-0.6302723288536072,14.815,80,5.40,measured (full torch on Darwin arm64 arm)
flow,ELBO,5.0,0.9156849773413186,0.15566065635270868,0.13066375738762565,-4.2508087158203125,-2.539823532104492,23.212,80,3.45,measured (full torch on Darwin arm64 arm)
flow,IWAE K=4,5.0,0.9248962575966181,0.1609495042905714,0.13812383923895882,-3.2281341552734375,-2.335580587387085,24.481,80,3.27,measured (full torch on Darwin arm64 arm)
