method,pearson_r,spearman_r,auc_meth_at_0p5,ece_credible,icc_2_1,dmr_f1,_status
FinaleMe-style HMM,0.5080597066730423,0.4930510178110079,0.8000130470229057,0.3991736842105263,0.5070325472078486,0.2823529411764706,"synthetic FinaleMe-proxy (S=80, L=1000, coverage=1.0x); replace with --data-dir for real Liu 2024 numbers"
HAVI-Methyl simplified (full),0.8054303085230154,0.8116489763619842,0.912021507417759,0.19379013157894737,0.6758264644816246,0.0,"synthetic FinaleMe-proxy (S=80, L=1000, coverage=1.0x); replace with --data-dir for real Liu 2024 numbers"
HAVI-Methyl simplified (no flow),0.8048062192503487,0.8110983195509137,0.9116398617477323,0.19419934210526313,0.6747314009432831,0.0,"synthetic FinaleMe-proxy (S=80, L=1000, coverage=1.0x); replace with --data-dir for real Liu 2024 numbers"
HAVI-Methyl simplified (no hierarchy),0.5080597066730423,0.4930510178110079,0.8000130470229057,0.27670526315789473,0.5070325472078486,0.2823529411764706,"synthetic FinaleMe-proxy (S=80, L=1000, coverage=1.0x); replace with --data-dir for real Liu 2024 numbers"
FinaleMe,XX,XX,XX,XX,XX,XX,external baseline FinaleMe requires its own codebase; placeholder
DeepCpG,XX,XX,XX,XX,XX,XX,external baseline DeepCpG requires its own codebase; placeholder
Elastic-net regression,XX,XX,XX,XX,XX,XX,external baseline Elastic-net regression requires its own codebase; placeholder
MethylBERT,XX,XX,XX,XX,XX,XX,external baseline MethylBERT requires its own codebase; placeholder
