configuration,pearson_r,spearman_r,auc_meth_at_0p5,icc_2_1,dmr_f1,ece_credible,coverage_90,mean_width_90,_status
A0. Feature regression scaffold,0.716194712536604,0.6812173634594201,0.8740577385725742,0.7137913790840232,0.0,0.19020467836257304,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A1. + Beta-Binomial pseudo-likelihood,0.7320450760633368,0.7362815128887208,0.9097273456295109,0.17234933404327568,0.0,0.39817251461988296,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A2. + hierarchical SVI,0.8655421112712802,0.8574848395412286,0.958532477947073,0.19594547149372255,0.0,0.3756578947368421,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A3. + amortized flow posterior,0.6742223464245701,0.6650102527203948,0.8627586206896551,0.28499083535495134,0.0,0.3721491228070175,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A4. + leakage-control terms,0.6648209394258423,0.6528277125020174,0.8588372093023255,0.2726983899201326,0.0,0.37397660818713446,nan,nan,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
A5. + conformal wrapper (full),0.6648209394258423,0.6528277125020174,0.8588372093023255,0.2726983899201326,0.0,0.37397660818713446,0.8666666666666667,0.9720206993521594,"synthetic FinaleMe-proxy ablation (S=12, L=120, coverage=2.0x); replace with EGA Liu 2024 loader for real-data values"
