coverage,method,pearson,rmse,mae,coverage_90,mean_width,pearson_low_information_proxy
0.1,FinaleMe-style,0.16229813955157735,0.3099904600775668,0.2711645031795134,0.796,0.8193883793655407,0.22430585259132424
0.1,HAVI-Methyl simplified,0.3332702157165197,0.2955463238786097,0.26181810891448587,0.4708333333333333,0.5117529003276292,0.3982881532447213
1.0,FinaleMe-style,0.5236872800270462,0.311931187224592,0.2498819873273917,0.448,0.41224564694707433,0.5880005818561707
1.0,HAVI-Methyl simplified,0.781650815413644,0.22702222310589398,0.1957161676201806,0.5966666666666667,0.4424047811765647,0.8278355679765931
5.0,FinaleMe-style,0.7682605951182659,0.1868585688439763,0.1428991879280763,0.6573333333333333,0.36144788791785504,0.8327651176579641
5.0,HAVI-Methyl simplified,0.8676174702169274,0.1414885914818254,0.11250400828997707,0.6705555555555556,0.2804941497767456,0.9064304024565076
30.0,FinaleMe-style,0.961332514974826,0.09778880954516252,0.0820823991476936,0.554,0.18309673284832303,0.9775584719103548
30.0,HAVI-Methyl simplified,0.9642797813186266,0.09599492930540396,0.0807509847332442,0.4147222222222222,0.12832187817917018,0.9799075331348465
